MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Total Bath,Total Porch SF
60,RL,79.6,13517,Pave,IR1,Lvl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,725.0,GasA,Ex,Y,SBrkr,1479,3,1,Gd,6,Typ,0,Attchd,1976.0,RFn,2.0,475.0,TA,TA,Y,0,0,0,3,2010,WD ,130500,2.5,44
60,RL,43.0,11492,Pave,IR1,Lvl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,913.0,GasA,Ex,Y,SBrkr,2122,4,1,Gd,8,Typ,1,Attchd,1997.0,RFn,2.0,559.0,TA,TA,Y,0,0,0,4,2009,WD ,220000,3.5,74
20,RL,68.0,7922,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,1057.0,GasA,TA,Y,SBrkr,1057,3,1,Gd,5,Typ,0,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,0,0,0,1,2010,WD ,109000,2.0,52
60,RL,73.0,9802,Pave,Reg,Lvl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,384.0,GasA,Gd,Y,SBrkr,1444,3,1,TA,7,Typ,0,BuiltIn,2007.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,4,2010,WD ,174000,2.5,0
50,RL,82.0,14235,Pave,IR1,Lvl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,676.0,GasA,TA,Y,SBrkr,1445,3,1,TA,6,Typ,0,Detchd,1957.0,Unf,2.0,484.0,TA,TA,N,0,0,0,3,2010,WD ,138500,2.0,59
20,RL,137.0,16492,Pave,IR1,Lvl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,1517.0,GasA,Ex,Y,SBrkr,1888,2,1,Gd,6,Mod,1,Attchd,1966.0,Fin,2.0,578.0,TA,TA,Y,0,0,0,6,2010,WD ,190000,2.5,0
180,RM,35.0,3675,Pave,Reg,Lvl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,547.0,GasA,Gd,Y,SBrkr,1072,2,1,TA,5,Typ,0,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,0,0,6,2006,New,140000,3.0,44
20,RL,75.9,12160,Pave,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,1188.0,GasA,Fa,Y,SBrkr,1188,3,1,TA,6,Typ,0,Attchd,1959.0,RFn,2.0,531.0,TA,TA,Y,0,0,0,5,2010,COD,142000,2.0,0
20,RL,85.8,15783,Pave,Reg,Lvl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,924.0,GasA,TA,Y,SBrkr,924,2,1,TA,6,Typ,0,Detchd,1952.0,Unf,1.0,420.0,TA,TA,Y,0,0,400,6,2007,WD ,112500,1.0,324
60,RL,70.0,11606,Pave,IR1,HLS,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,1040.0,GasA,TA,Y,SBrkr,2080,5,1,Fa,9,Typ,2,Attchd,1969.0,Unf,2.0,504.0,TA,TA,Y,335,0,0,9,2007,WD ,135000,2.5,0
